,network,F (CN),M (CN),F-M (CN)
0,dmn,-0.674113041048566,-0.017826634003335673,-0.6562864070452303
1,dorsal_attn,0.09706295087134616,0.8204400205079788,-0.7233770696366326
2,fpn,0.0174958783369451,0.7125694495525988,-0.6950735712156537
3,limbic,-1.4763382711659199,-0.9790819182275605,-0.49725635293835935
4,somatomotor,-0.04700306802444,0.7050858877459889,-0.7520889557704289
5,ven_attn,-0.09593797354186341,0.5914374603293118,-0.6873754338711752
6,visual,-0.21238607538574902,0.38452836281097924,-0.5969144381967283
