,region,hemisphere,CN,MCI,AD,AD-CN,feature
405,G_temp_sup-Plan_tempo,Average,-0.968002960695033,-1.44448199886622,0.289172177470641,1.25717513816567,curvature
406,S_orbital-H_Shaped,Average,-1.95691820935769,-2.56175307742614,-0.210646627493871,1.74627158186381,curvature
407,G_precuneus,Average,-1.04601066161271,-1.35849526584359,-0.0443488303399879,1.00166183127272,curvature
408,G_front_middle,Average,-1.19533814742861,-1.6978036181842,-0.0194992315765503,1.17583891585206,curvature
409,G_oc-temp_med-Parahip,Average,-1.56359685553981,-1.64302175218188,-0.0187733121287229,1.54482354341109,curvature
410,S_suborbital,Average,-1.76418453069712,-2.29115422890027,-0.526197105822021,1.2379874248751,curvature
411,G_pariet_inf-Supramar,Average,-1.74263984975382,-2.12063499423182,-0.38241240685658,1.36022744289724,curvature
412,S_precentral-sup-part,Average,-0.465171495279644,-0.728819794130763,0.312882256817852,0.778053752097497,curvature
413,S_interm_prim-Jensen,Average,-1.70791063335497,-2.10546559926276,-0.438388479762125,1.26952215359284,curvature
414,S_precentral-inf-part,Average,-1.02528276105742,-1.60858988862443,0.255892157549163,1.28117491860658,curvature
415,G_cingul-Post-ventral,Average,-1.4294931756298,-1.61338585716457,-0.210742794893388,1.21875038073641,curvature
416,S_collat_transv_ant,Average,-1.71245804142077,-1.97679637901449,0.230526174684854,1.94298421610562,curvature
417,S_temporal_sup,Average,-1.19889563406766,-1.69219120290778,0.335661289741001,1.53455692380866,curvature
418,G_parietal_sup,Average,-1.04916761308187,-1.61779872566773,-0.108478400403985,0.940689212677884,curvature
419,S_pericallosal,Average,-2.22444442792142,-2.42112887451619,-1.28612398586826,0.938320442053161,curvature
420,G_Ins_lg_and_S_cent_ins,Average,-0.935384461542891,-1.24807239359885,0.175210865511448,1.11059532705434,curvature
421,S_occipital_ant,Average,-1.41987964583559,-1.99500436894492,0.379197501685164,1.79907714752075,curvature
422,Lat_Fis-ant-Vertical,Average,-0.914340498002644,-1.52827828790396,0.440552602942396,1.35489310094504,curvature
423,G_temp_sup-Lateral,Average,-1.79966470588876,-2.33066392191633,-0.226325448010006,1.57333925787875,curvature
424,G_and_S_paracentral,Average,-0.770687170299045,-0.909827240671278,-0.0959746383591816,0.674712531939864,curvature
425,G_and_S_frontomargin,Average,-2.08159194812545,-2.73876082693491,-0.604017966729067,1.47757398139638,curvature
426,Pole_temporal,Average,-2.56826611861398,-3.01621145521049,-0.374648378978376,2.1936177396356,curvature
427,G_postcentral,Average,-0.921802828403753,-1.11675617007682,-0.148013992803656,0.773788835600097,curvature
428,S_oc-temp_med_and_Lingual,Average,-1.37947703908219,-1.83704065270046,0.24881469261805,1.62829173170024,curvature
429,G_front_sup,Average,-1.72301814922727,-2.36929795848321,-0.333896544647719,1.38912160457955,curvature
430,G_orbital,Average,-2.50137533064191,-3.00805078449577,-0.860143882336198,1.64123144830571,curvature
431,S_circular_insula_sup,Average,-0.719069486240309,-1.10630980376237,0.447407940038845,1.16647742627915,curvature
432,S_cingul-Marginalis,Average,-0.633366657080246,-1.0407476034656,0.408091826594918,1.04145848367516,curvature
433,G_cuneus,Average,-2.09263917785539,-2.16242170543153,-1.12890183418458,0.963737343670819,curvature
434,G_and_S_cingul-Ant,Average,-1.47238240794326,-1.84518207808529,-0.034405879232587,1.43797652871067,curvature
435,S_temporal_inf,Average,-2.57246471323576,-3.15262648829992,-0.491075768996476,2.08138894423928,curvature
436,S_oc-temp_lat,Average,-2.36998385800173,-2.88529991962018,-0.47105995493362,1.89892390306811,curvature
437,G_oc-temp_lat-fusifor,Average,-2.61510126899275,-3.16804945164835,-0.675675188694976,1.93942608029777,curvature
438,G_pariet_inf-Angular,Average,-1.18388754331281,-1.56218270960041,-0.0494612730701866,1.13442627024262,curvature
439,G_occipital_sup,Average,-0.768211166413927,-0.948669445820126,-0.224581172963882,0.543629993450046,curvature
440,G_precentral,Average,-0.676689787099044,-0.873097744710966,-0.0547257384969581,0.621964048602086,curvature
441,S_collat_transv_post,Average,-2.54730320037156,-3.11641491199605,-0.694846063272058,1.85245713709951,curvature
442,G_insular_short,Average,-1.12732311926068,-1.27920760765073,0.0193106249177742,1.14663374417845,curvature
443,Lat_Fis-ant-Horizont,Average,-1.26343201324635,-1.8796203135909,0.0912813557464743,1.35471336899282,curvature
444,S_oc_middle_and_Lunatus,Right,0.0532227524184931,0.195153151321768,-0.0986237825403046,-0.151846534958798,sulcal_depth
445,S_temporal_transverse,Right,-0.181372961764046,0.118943446388458,-0.0673707995341549,0.114002162229891,sulcal_depth
446,S_front_sup,Right,-0.274909222877059,-0.10324372016469,-0.50594682971598,-0.231037606838921,sulcal_depth
447,S_subparietal,Right,-0.16270093365732,0.0276985193528706,-0.243050244737606,-0.0803493110802865,sulcal_depth
448,G_temp_sup-Plan_polar,Right,0.0951598606286026,0.296611892238098,-0.117898243826205,-0.213058104454808,sulcal_depth
449,G_and_S_transv_frontopol,Left,-0.391707422846267,-0.176388549036284,-0.539111801609163,-0.147404378762896,sulcal_depth
