,region,hemisphere,F (CN),M (CN),F-M (CN)
143,G_oc-temp_med-Parahip,Left,-1.6958389818676816,-1.2108660471441235,-0.48497293472355807
144,S_postcentral,Left,-0.6127785967242387,0.3192354106035317,-0.9320140073277705
145,S_circular_insula_inf,Right,0.04701604238646271,0.5008658543408643,-0.45384981195440155
146,Pole_temporal,Right,-1.7699452356064322,-1.272508980349624,-0.49743625525680835
147,S_circular_insula_ant,Left,-1.5794235278771076,-1.071682275422931,-0.5077412524541767
148,G_front_inf-Triangul,Average,0.5788768384102545,1.1349129421129838,-0.5560361037027293
149,G_front_inf-Opercular,Average,0.6818586382678152,1.3380766266161093,-0.656217988348294
150,S_parieto_occipital,Average,0.5256289881869088,1.2294490646486382,-0.7038200764617294
151,G_and_S_occipital_inf,Average,-1.3103265864636264,-0.6607976734660754,-0.649528912997551
152,G_temp_sup-Lateral,Average,-0.7357537116100499,-0.09864083803827028,-0.6371128735717796
153,G_and_S_transv_frontopol,Average,-0.32814220527265814,0.33917223170292177,-0.6673144369755799
154,G_oc-temp_med-Lingual,Average,-0.24224277799016042,0.34344606544775713,-0.5856888434379175
155,G_orbital,Average,-1.6603164126738568,-0.9362366061009461,-0.7240798065729107
156,S_front_inf,Average,0.5779408429598405,1.3055700578059162,-0.7276292148460757
157,S_pericallosal,Average,0.16372665318232849,0.904891490020665,-0.7411648368383366
158,G_subcallosal,Average,-0.17981809922194958,0.47580312756155096,-0.6556212267835005
159,G_temporal_inf,Average,-2.0344948096658717,-1.788726438695629,-0.24576837097024273
160,S_subparietal,Average,-1.1136166391173006,-0.5705015113276017,-0.5431151277896988
161,S_orbital_lateral,Average,0.08791668491474659,0.780435035437934,-0.6925183505231874
162,G_insular_short,Average,-0.35340144172643656,0.30948909538555486,-0.6628905371119914
163,S_intrapariet_and_P_trans,Average,0.645649179306619,1.3594439790530979,-0.7137947997464789
164,S_front_middle,Average,0.4435194704274633,1.1173698533882976,-0.6738503829608343
165,S_oc-temp_med_and_Lingual,Average,-0.9602138002853581,-0.295809132125673,-0.6644046681596851
166,S_orbital-H_Shaped,Average,-1.2993163691111163,-0.5207688600866167,-0.7785475090244995
167,S_oc-temp_lat,Average,-1.2206205127606657,-0.7376924753087603,-0.4829280374519055
168,Pole_occipital,Average,-0.7748512617424053,-0.2494168687134115,-0.5254343930289938
169,G_and_S_cingul-Ant,Average,-0.5169189929938265,0.2193590300560606,-0.7362780230498871
170,G_pariet_inf-Supramar,Average,-0.19606087504512162,0.39123218695263956,-0.5872930619977612
171,G_postcentral,Average,0.9392300271828162,1.6434565766238913,-0.7042265494410751
172,S_front_sup,Average,-0.419491144640724,0.4568655181304717,-0.8763566627711957
173,Lat_Fis-ant-Vertical,Average,0.3255832408228029,0.7995344637922233,-0.4739512229694204
